Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,CV-10,0.6572843822843822,0.5966666666666666,0.6417063492063492,0.6010789210789211
AdaBoostClassifier,Algorithm:SAMME-n_estimators:50,CV-10,0.6593240093240093,0.5666666666666667,0.6802380952380953,0.6006332556332555
AdaBoostClassifier,Algorithm:SAMME-n_estimators:100,CV-10,0.6753496503496503,0.6166666666666666,0.6638095238095237,0.6273032523032522
AdaBoostClassifier,Algorithm:SAMME-n_estimators:200,CV-10,0.6606060606060605,0.6,0.6466666666666667,0.6112193362193361
AdaBoostClassifier,Algorithm:SAMME-n_estimators:500,CV-10,0.6362470862470863,0.5666666666666667,0.6638095238095237,0.5796359196359196
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1000,CV-10,0.6439393939393939,0.5833333333333334,0.6260714285714286,0.5862609612609612
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1500,CV-10,0.6279137529137528,0.55,0.6141666666666666,0.561914196914197
AdaBoostClassifier,Algorithm:SAMME-n_estimators:2000,CV-10,0.6279137529137528,0.55,0.6141666666666666,0.561914196914197
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,CV-10,0.6594405594405595,0.5866666666666667,0.6744444444444445,0.6145959595959596
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:50,CV-10,0.6608391608391609,0.6399999999999999,0.6877380952380953,0.6359540459540459
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:100,CV-10,0.6761072261072262,0.6366666666666665,0.6952380952380952,0.6369064269064267
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:200,CV-10,0.6426573426573426,0.6,0.6416666666666667,0.6050721500721501
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:500,CV-10,0.6252331002331003,0.5633333333333334,0.6288095238095238,0.5743450993450994
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:1000,CV-10,0.6034382284382286,0.53,0.5802380952380953,0.5353085803085803
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:1500,CV-10,0.6208624708624709,0.55,0.6078174603174603,0.5567859917859919
