S0,S50,S100,S150
0,0,0,0
0.34282,0.38223,0.33045,0.2428
0.69629,0.77635,0.67117,0.49314
1.0609,1.1828,1.0226,0.75135
1.437,1.6022,1.3852,1.0178
1.8252,2.0351,1.7594,1.2927
2.226,2.482,2.1457,1.5766
2.64,2.9435,2.5448,1.8697
3.0677,3.4204,2.957,2.1726
3.5097,3.9132,3.3831,2.4857
3.9667,4.4227,3.8236,2.8093
4.4393,4.9497,4.2792,3.1441
4.9284,5.495,4.7506,3.4905
5.4346,6.0594,5.2385,3.849
5.9588,6.6439,5.7438,4.2202
6.5018,7.2493,6.2672,4.6048
7.0645,7.8768,6.8096,5.0034
7.648,8.5273,7.3721,5.4166
8.2532,9.2021,7.9554,5.8452
8.8812,9.9024,8.5608,6.29
9.5333,10.629,9.1893,6.7518
10.211,11.385,9.8422,7.2315
10.914,12.169,10.521,7.73
11.646,12.985,11.226,8.2483
12.408,13.834,11.96,8.7875
13.2,14.718,12.724,9.3486
14.025,15.638,13.519,9.933
14.885,16.596,14.348,10.542
15.781,17.596,15.212,11.177
16.716,18.638,16.113,11.839
17.692,19.726,17.054,12.53
18.711,20.863,18.036,13.252
19.777,22.051,19.063,14.007
20.891,23.293,20.137,14.796
22.057,24.593,21.261,15.621
23.278,25.954,22.438,16.486
24.557,27.381,23.671,17.392
25.899,28.877,24.965,18.343
27.308,30.448,26.323,19.341
28.787,32.097,27.749,20.388
30.343,33.832,29.248,21.49
31.979,35.656,30.826,22.649
33.703,37.578,32.487,23.87
35.52,39.603,34.238,25.156
37.436,41.74,36.085,26.514
39.46,43.997,38.036,27.947
41.6,46.383,40.099,29.463
43.864,48.908,42.282,31.066
46.263,51.582,44.594,32.765
48.807,54.419,47.046,34.567
51.509,57.431,49.65,36.48
54.381,60.633,52.419,38.515
57.438,64.042,55.366,40.68
60.697,67.676,58.507,42.988
64.176,71.554,61.86,45.452
67.894,75.7,65.445,48.085
71.875,80.139,69.282,50.905
76.144,84.898,73.396,53.928
80.728,90.01,77.816,57.175
85.661,95.51,82.571,60.669
90.978,101.44,87.696,64.434
96.721,107.84,93.231,68.501
102.94,114.77,99.221,72.903
109.67,122.28,105.72,77.676
117,130.45,112.78,82.863
124.98,139.35,120.47,88.516
133.7,149.07,128.87,94.69
143.24,159.71,138.08,101.45
153.73,171.41,148.18,108.88
165.28,184.29,159.32,117.06
178.05,198.52,171.63,126.1
192.21,214.31,185.27,136.13
207.97,231.88,200.47,147.29
225.59,251.52,217.45,159.77
245.36,273.57,236.5,173.77
267.65,298.42,257.99,189.56
292.91,326.59,282.35,207.45
321.7,358.69,310.09,227.84
354.7,395.48,341.9,251.21
392.76,437.92,378.59,278.17
437,487.24,421.23,309.5
488.81,545.01,471.17,346.19
550.03,613.27,530.18,389.55
623.08,694.72,600.6,441.29
711.22,793,685.56,503.71
