Feature,Average,Standar Deviation,Variance,Max Value,Min Value
param1,0.04976253702391091,0.12222225255374781,0.014938279019312115,1.0,0.00125401270064
param2,0.10133153063725489,0.1735743319462662,0.030128048710592607,1.0,0.00032665
param3,0.07156356292592601,0.15149518959114416,0.022950792469256714,1.0,5.12452598135e-06
param4,0.6541075163398751,0.18433407128990958,0.033979049838313465,1.0,0.2503
param5,0.33291154604621326,0.3357374377187764,0.11271962708596928,1.0,8.93885714286e-06
param6,0.15363151930232008,0.23133534439521894,0.05351604156645456,1.0,5.547696771849999e-08
param7,0.03292447992373162,0.09738807104560428,0.009484436381983666,1.0,3.3304945954800004e-11
param8,0.10548451305124762,0.1778405767383794,0.03162727073463942,1.0,0.00023739302504400002
param9,0.3227545300768457,0.3083675420432737,0.09509054098581017,1.0,2.3618469613699999e-07
param10,0.5643483155391618,0.3479458283611619,0.12106629947393513,1.0,1.70658e-07
param11,0.14492873546568627,0.2738821137960022,0.0750114122573663,1.0,0.000152985
param12,0.35796990196078426,0.2009765876155684,0.04039158876959823,1.0,0.10805
param13,0.15949624387254902,0.30018285933666006,0.09010974903953305,1.0,0.005867
param14,0.9805679930795661,0.012516548949581787,0.00015666399760727693,1.0,0.952964705882
param15,0.8436525606807525,0.06495278282440967,0.004218863996634927,1.0,0.622915622987
param16,0.3705070673355637,0.2009073777274735,0.040363774425329714,1.0,0.14298461571499999
