T0,T30,T60,T90,T120
-1.771,-5.57,1.49,17.61,-4.53
-0.098,35.77,-26.72,27.33,7.27
-0.969,-34.12,17.29,9.58,18.153
-0.05,4.53,-13.07,6.03,6.14
-2.049,6.18,-11.79,-5.55,16.13
0.483,13.86,-17.96,15.43,-7.5
0.113,-0.11,-0.08,0.17,0.07
-0.067,-0.59,-2.18,3.17,-0.71
-2.7,8.0,-15.72,-5.19,14.03
0.613,2.25,-2.56,16.86,-19.05
-0.622,4.97,-3.64,3.46,-5.12
1.017,2.1,-15.02,-3.83,14.75
1.48,-41.62,-20.24,-20.93,26.6
0.862,38.45,-78.93,27.92,38.438
0.454,2.69,-7.0,13.58,-11.36
-2.718,15.19,-13.27,30.86,-11.66
1.277,0.59,-1.21,-0.36,1.93
0.7,5.02,-16.25,0.97,6.854
0.956,1.01,-1.72,4.53,-3.22
-0.219,4.05,-8.72,7.8,-0.31
0.255,0.49,-2.79,-0.35,-1.74
0.757,3.57,-30.18,38.34,-27.29
-1.841,15.41,-17.03,14.69,-7.94
0.767,3.24,-0.0599999999999,-4.54,3.02
-0.953,-1.26,-0.28,2.91,-1.88
0.599,0.82,0.94,0.71,0.06
1.233,-5.31,11.98,-2.35,-3.7
0.092,-17.81,26.56,-34.0,18.61
-0.395,8.12,-12.69,16.23,-8.28
-1.453,5.29,14.15,-29.06,9.13
0.139,-6.289,-9.64,11.498,-6.902
0.175,-0.05,-0.00700000000001,0.146,-0.063
0.486,-4.46,-0.33,-1.6,6.53
1.862,-3.36,29.99,-15.61,-22.21
0.06,-0.03,-0.00999999999999,-0.09,-0.1
-1.961,4.91,-6.46,7.66,-5.74
-0.001,0.0,0.12,0.23,0.1
-0.947,-15.574,20.64,-23.64,10.79
-0.255,-29.98,23.87,29.82,-40.5
-0.823,0.33,-2.33,2.04,-0.8
-0.934,2.5,0.43,-2.36,1.54
-0.008,0.21,0.04,-0.12,-0.34
0.019,-1.41,4.12,-4.43,-0.32
2.26,30.83,-45.06,28.43,-24.4
0.54,5.85,-8.01,1.73,4.97
2.455,-9.78,22.72,9.53,-32.38
-0.798,0.53,0.66,0.07,0.59
-0.046,-15.14,17.12,-11.12,3.8
0.478,4.43,32.39,-8.53,2.39
0.534,-0.23,0.12,-0.06,-0.91
0.698,36.42,-21.72,16.52,-5.947
1.867,9.42,-16.56,11.0,-0.56
-0.626,-24.44,20.87,-17.87,-10.66
-0.038,1.33,17.25,-25.12,10.24
-0.01,-0.28,2.03,-2.28,-0.49
-1.101,10.01,-17.3,-15.0,9.16
0.578,1.02,-3.8,5.77,-4.14
0.219,0.06,0.13,0.17,0.09
-0.318,-9.31,11.14,-4.05,6.87
-0.112,-6.02,-17.28,24.62,-12.41
2.979,-14.68,31.56,-16.03,-16.27
0.124,-2.02,7.06,-4.73,0.24
-0.632,-0.25,0.11,0.21,1.74
-0.791,6.3,-17.2,19.64,-0.33
1.628,1.5,-0.2,0.08,-0.82
0.294,-14.97,17.64,-20.96,19.44
0.499,-7.63,18.064,-26.552,3.25
-0.264,-0.00999999999999,0.2,-0.262,0.095
-0.073,-0.04,0.02,0.04,-0.21
0.829,-16.46,13.9,-16.42,-0.38
0.182,14.61,9.03,-6.61,-13.95
2.823,-2.26,14.32,-8.93,-5.54
-2.85,3.87,-5.55,3.82,3.13
-0.303,-0.44,0.3,-0.6,0.98
2.214,-2.41,6.39,-4.13,-1.72
-0.178,-0.23,0.26,-0.54,-0.61
-0.937,12.94,-33.78,37.11,-9.54
0.078,17.22,-13.72,0.99,3.67
0.565,4.66,-6.02,10.15,-10.18
0.429,21.05,-7.44,-12.84,15.07
2.086,-3.35,30.91,-19.78,-14.48
-0.234,0.158,6.299,-2.438,-4.057
0.511,-36.2,30.37,-26.04,34.64
-1.75,0.14,-8.24,23.03,-16.33
-1.418,35.707,-32.71,7.96,-7.77
-0.725,0.3,-0.46,-0.19,3.21
-0.576,-0.33,-1.21,-1.12,2.21
0.154,11.26,-40.05,43.06,-30.87
0.04,-0.1,0.12,-0.06,0.09
2.449,-10.29,14.98,-16.06,7.16
1.748,-10.49,25.98,-25.87,3.91
0.542,-6.1,8.52,-5.61,-1.28
-3.001,3.4,-26.02,15.32,12.09
0.0,-4.16,1.88,-8.52,10.59
0.037,-32.93,31.29,32.05,-33.35
-0.000999999999999,-0.6,1.26,0.27,0.39
1.349,16.78,-12.5,0.67,-14.67
-0.268,0.38,-1.88,0.83,0.78
1.0,1.94,2.05,-0.25,-5.73
