,BETA,C,D,FGI,GAMMA,GB,IB,KGJ,KLG,KLJ,KSJ,KXG,KXGI,KXI,LAMBDA1,TAU
BETA,1.0,0.4770532235170526,0.46521346271873326,0.5266846105638072,0.38542656606206527,0.47168907498882795,0.4814915424917463,0.3809416868694619,0.5201969086164038,0.46620254541136497,0.4517196271171744,0.5555930295186271,0.5296421167597872,0.3722486021342596,0.540976021684088,0.47888680996943916
C,0.47705322351705254,1.0,0.5986296264074071,0.6100199525892219,0.4990419876471742,0.5466116988096799,0.4790548976968804,0.37166906470050964,0.6761436403292149,0.4064822511105191,0.2672125342103724,0.8441784456808351,0.6100841141308418,0.6977471786087682,0.7702391881532179,0.5856852889347418
D,0.46521346271873315,0.5986296264074071,1.0,0.6154543742696427,0.5620724679023108,0.5465705997545875,0.535303649685582,0.4305083254735458,0.5953170176350439,0.5103813591547028,0.5401956609763822,0.6448113431498298,0.5891612307278417,0.5077001725604418,0.6795151881028286,0.6730365404765601
FGI,0.5266846105638071,0.6100199525892217,0.6154543742696424,1.0,0.4692305220492316,0.6639231939699296,0.5942071602746962,0.6061973180417888,0.6359300040833278,0.6829121832983996,0.634880487074711,0.709364865141868,0.7645134520675139,0.5250987973396474,0.7391258843597174,0.6272637897872864
GAMMA,0.38542656606206527,0.49904198764717417,0.5620724679023108,0.4692305220492316,1.0,0.5235104684787715,0.4552263774972131,0.44591002557631604,0.560044993836386,0.510124826507877,0.4726349843167644,0.5746391482209162,0.5912009487022557,0.49853120896265146,0.6071943930421811,0.6297553661397949
GB,0.47168907498882795,0.5466116988096799,0.5465705997545875,0.6639231939699296,0.5235104684787715,1.0,0.6216919328828988,0.5332770108754805,0.5727903193818397,0.5938100930539915,0.5362456410289583,0.6168721403890224,0.6681877533181235,0.4795593098309839,0.6425981978501986,0.5727903193818397
IB,0.48149154249174625,0.4790548976968804,0.5353036496855819,0.5942071602746962,0.4552263774972132,0.6216919328828987,1.0,0.5297428152987185,0.5740283597215108,0.5593811415005082,0.5598280684027662,0.6082172854400222,0.6033644985370319,0.5143248478351918,0.6120519643917597,0.5931381051612632
KGJ,0.3809416868694619,0.37166906470050953,0.43050832547354584,0.6061973180417888,0.44591002557631604,0.5332770108754805,0.5297428152987184,1.0,0.4807045174322254,0.8103028187586956,0.5203607866667057,0.4879212788145701,0.5677436436020751,0.3962732826780447,0.5408205295804399,0.43014635815313995
KLG,0.5201969086164037,0.6761436403292149,0.5953170176350439,0.6359300040833278,0.5600449938363858,0.5727903193818397,0.5740283597215108,0.4807045174322254,1.0,0.503897857346226,0.45183806553723127,0.7183073357077188,0.6476411791127645,0.5596370476807501,0.7098441460152837,0.6349518441542443
KLJ,0.466202545411365,0.4064822511105191,0.5103813591547028,0.6829121832983998,0.510124826507877,0.5938100930539915,0.5593811415005082,0.8103028187586956,0.503897857346226,1.0,0.6372006425622381,0.5546294485728884,0.68421614188056,0.4028993493488899,0.5807956789971982,0.4934621967930892
KSJ,0.4517196271171744,0.26721253421037244,0.5401956609763823,0.6348804870747111,0.47263498431676426,0.5362456410289583,0.5598280684027663,0.5203607866667057,0.4518380655372313,0.637200642562238,1.0,0.4287184619651519,0.609762243637064,0.2735500034043699,0.49994320604021797,0.49527871830220965
KXG,0.5555930295186271,0.844178445680835,0.64481134314983,0.709364865141868,0.5746391482209161,0.6168721403890224,0.6082172854400222,0.48792127881457015,0.7183073357077188,0.5546294485728883,0.42871846196515195,1.0,0.6536831728119666,0.673242150377599,0.8265557839142613,0.6464510971107554
KXGI,0.5296421167597872,0.6100841141308418,0.5891612307278418,0.7645134520675139,0.5912009487022557,0.6681877533181235,0.6033644985370319,0.5677436436020753,0.6476411791127645,0.68421614188056,0.6097622436370641,0.6536831728119668,1.0,0.5120355705460311,0.6679762025684414,0.6265992195312698
KXI,0.37224860213425953,0.6977471786087682,0.5077001725604418,0.5250987973396474,0.4985312089626515,0.4795593098309839,0.5143248478351918,0.3962732826780447,0.5596370476807501,0.40289934934888977,0.2735500034043698,0.6732421503775992,0.5120355705460311,1.0,0.6392304829206542,0.46822578247738283
LAMBDA1,0.540976021684088,0.7702391881532177,0.6795151881028285,0.7391258843597174,0.6071943930421811,0.6425981978501983,0.6120519643917597,0.5408205295804399,0.7098441460152837,0.5807956789971982,0.4999432060402179,0.8265557839142612,0.6679762025684414,0.6392304829206542,1.0,0.6820563592801078
TAU,0.47888680996943916,0.5856852889347418,0.6730365404765601,0.6272637897872864,0.6297553661397949,0.5727903193818397,0.5931381051612632,0.43014635815313995,0.6349518441542443,0.49346219679308917,0.4952787183022096,0.6464510971107553,0.6265992195312698,0.46822578247738283,0.6820563592801078,1.0
