x_values,response
0.0,0.24588000000000002
0.10101,0.017287999999999998
0.20202,-3.9819
0.30303,-0.49271000000000004
0.40404,0.49763999999999997
0.50505,0.6574800000000001
0.60606,3.2487
0.70707,-3.7056
0.80808,0.66468
0.90909,-3.5288
1.0101,1.0294
1.1111,0.064762
1.2121,2.7095
1.3131,1.5168
1.4141,-2.5662
1.5152,3.8023
1.6162,1.4257
1.7172,5.7364
1.8182,4.0858
1.9192,3.7511
2.0202,9.3584
2.1212,2.1829
2.2222,-2.3040000000000003
2.3232,5.1504
2.4242,6.4351
2.5253,5.0447
2.6263,2.1154
2.7273,2.9046
2.8283,3.7888
2.9293,3.3131
3.0303,5.1738
3.1313,3.2116
3.2323,3.2029
3.3333,4.1472
3.4343,3.5811
3.5354,3.3001
3.6364,4.5287
3.7374,-1.7944
3.8384,4.0126
3.9394,3.8032
4.0404,3.9482
4.1414,-0.30966
4.2424,4.2
4.3434,2.6249
4.4444,4.6312
4.5455,2.5209
4.6465,1.9313
4.7475,4.3728
4.8485,6.1151
4.9495,4.8686
5.0505,5.1435
5.1515,2.6715
5.2525,5.3259
5.3535,2.3733
5.4545,1.3980000000000001
5.5556,0.589
5.6566,5.4619
5.7576,5.7172
5.8586,1.1421
5.9596,3.2260000000000004
6.0606,4.651
6.1616,6.4843
6.2626,6.4965
6.3636,4.0136
6.4646,3.6647
6.5657,6.9278
6.6667,6.4721
6.7677,9.6753
6.8687,11.079
6.9697,7.2233
7.0707,7.189
7.1717,5.8247
7.2727,8.4071
7.3737,7.6185
7.4747,5.4049
7.5758,6.0283
7.6768,7.4897
7.7778,7.4866
7.8788,5.3202
7.9798,7.801
8.0808,7.4811
8.1818,8.0907
8.2828,3.9604
8.3838,8.3062
8.4848,7.4395
8.5859,9.009
8.6869,6.8295
8.7879,8.7488
8.8889,9.2294
8.9899,9.9374
9.0909,6.9288
9.1919,10.012
9.2929,7.1183
9.3939,9.2576
9.4949,9.7728
9.596,14.152999999999999
9.697000000000001,10.062999999999999
9.798,8.2097
9.899,9.8101
10.0,5.8992
